*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=donkeybounceshield
*Date=16:40:15
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;THT;13.2193;-51.3335;90;Bottom;St-Out
107;;;16.9603;-35.5356;0;Bottom;Via22
108;;;24.3953;-7.60311;-90;Bottom;TXT1
109;;;28.4226;-37.4767;0;Bottom;Copper Fill82
110;;;14.4892;-29.8423;0;Bottom;Via42
111;;;1.778;-48.767;0;Bottom;Copper Fill131
112;10k;0603 [SMD];2.28839;-43.009;-90;Top;R7
113;;;40.8305;-1.89131;0;Bottom;Copper Fill32
114;10k;0603 [SMD];8.82917;-26.0375;90;Top;R5
115;;THT;25.477;-10.5665;90;Bottom;GPS-8978
116;;;17.3935;-42.7117;0;Bottom;Via40
117;;;26.6446;-5.70131;0;Bottom;Copper Fill111
118;;;11.5072;-40.7643;0;Top;blkr9
119;;;38.0365;-42.9123;0;Bottom;Copper Fill35
120;;;57.531;-33.5778;0;Bottom;Copper Fill113
121;;;35.4965;-42.9123;0;Bottom;Copper Fill38
122;;0603 [SMD];42.8849;-38.7306;90;Top;LED1
123;;;51.1358;-8.7322;0;Bottom;TXT4
124;;;24.8335;-28.6791;0;Bottom;Via20
125;10k;0603 [SMD];10.3173;-37.1372;-90;Top;R4
126;;;40.3352;-15.747;0;Bottom;Copper Fill31
127;;;26.1591;-34.4748;0;Bottom;Via13
128;;;11.1252;-48.767;0;Bottom;Copper Fill128
129;;;2.2733;-52.2341;0;Bottom;Copper Fill124
130;;;43.3705;-3.56771;0;Bottom;Copper Fill33
131;;1206;48.4435;-37.895;-2.54444e-14;Top;C7
132;;tqfp44;22.9928;-30.3077;-90;Top;U5
133;;THT;19.9161;-48.09;-90;Bottom;Th-Out
134;;;31.8035;-35.316;0;Bottom;Via47
135;;;43.3705;-1.89131;0;Bottom;Copper Fill34
136;;;25.8534;-37.6693;0;Bottom;Via21
137;;;36.3896;-6.47442;0;Bottom;Via6
138;;;29.6672;-14.0198;0;Bottom;Copper Fill42
139;;;30.3149;-30.4663;0;Bottom;Copper Fill56
140;;sj_3;12.7615;-38.2392;0;Top;SJ3
141;;;58.6854;-18.4688;90;Bottom;TXT1
142;;;35.4965;-44.6903;0;Bottom;Copper Fill37
143;;sot23-3;9.3787;-40.4576;0;Top;Q9
144;;em406_outline;32.9952;-28.2042;180;Bottom;GPS-8976
145;;;28.6258;-22.4526;0;Bottom;Copper Fill129
146;;;21.5965;-21.5497;0;Top;blkr7
147;;;21.3351;-29.9562;0;Bottom;Via39
148;;sj_2s-no;36.8836;-37.8801;90;Top;SJ7
149;;;2.3113;-48.7371;0;Bottom;Via15
150;;1206;31.9318;-27.7703;90;Top;C5
151;;;3.8402;-40.7173;0;Top;blkr4
152;;;59.0078;-7.15965;0;Bottom;Via49
153;;;30.3571;-29.8988;0;Bottom;Via35
154;;;16.3648;-41.3946;0;Bottom;Via31
155;;THT;33.0031;-43.7277;90;Bottom;GPS-8977
156;;;48.5252;-37.9421;0;Top;blkr8
157;;;20.574;-45.3507;0;Bottom;Copper Fill78
158;;;16.3068;-39.3182;0;Bottom;Copper Fill54
